Mature Market ERP +,0.0411,"Updated July 1, 2024",,,,
Changing this number will update all your country equity risk premiums.,,,,,,
,,,,,,
Country,Moody's rating,Adj. Default Spread,Equity Risk Premium,Country Risk Premium,Corporate Tax Rate,GDP (in $ millions)
Gibraltar,NR,0.009588220147283357,=$B$1+E70,0.058871606293643367,0.24707349543413576,NA
Greece,Ba1,0.023554399640466156,=$B$1+E71,0.030574709708721233,0.22,217581.32451205922
Greenland,NR,0,=$B$1+E72,0,0,NA
Guatemala,Ba1,0.023554399640466156,=$B$1+E73,0.030574709708721233,0.25,95003.33031587544
Guernsey (States of),A1,0.006635042152243987,=$B$1+E74,0.008612594284146825,0,3446
Guinea,NR,0.08470737147698154,=$B$1+E75,0.10995412036094111,0.2915,20999.229260495544
Guinea-Bissau,NR,0.061152971836515406,=$B$1+E76,0.0793794106522199,0.2915,1633.559092088606
Guyana,NR,0.015039428878419699,=$B$1+E77,0.019521880377399464,0.1864,14718.388489208633
Haiti,NR,0.1129063006240185,=$B$1+E78,0.14655764606856514,0.1864,20253.551884605487
Honduras,B1,0.04235368573849078,=$B$1+E79,0.05497706018047056,0.25,31717.6997643621
Hong Kong,Aa3,0.005639785829407389,=$B$1+E80,0.007320705141524802,0.165,359838.58349006315
Hungary,Baa2,0.017914613811058765,=$B$1+E81,0.02325400456719643,0.09,177337.436677365
Iceland,A2,0.007962050582692785,=$B$1+E82,0.01033511314097619,0.2,28064.52985130985
India,Baa3,0.020679214707827093,=$B$1+E83,0.026842585518924274,0.3,3416645.826052874
Indonesia,Baa2,0.017914613811058765,=$B$1+E84,0.02325400456719643,0.22,1319100.2204077167
Iran,NR,0.061152971836515406,=$B$1+E85,0.0793794106522199,0.2023,413493.2073492653
Iraq,Caa1,0.07055261488552772,=$B$1+E86,0.09158058588809456,0.15,264182.17379310343
Ireland,Aa3,0.005639785829407389,=$B$1+E87,0.007320705141524802,0.125,533140.0118382764
Isle of Man,Aa3,0.005639785829407389,=$B$1+E88,0.007320705141524802,0,6684.229268505448
Israel,A2,0.007962050582692785,=$B$1+E89,0.01033511314097619,0.23,525002.4476527735
Italy,Baa3,0.020679214707827093,=$B$1+E90,0.026842585518924274,0.24,2049737.1654079845
Ivory Coast,Ba2,0.028309513182907677,=$B$1+E91,0.03674706894569312,0.25,NA
Jamaica,B1,0.04235368573849078,=$B$1+E92,0.05497706018047056,0.25,17097.760723920146
Japan,A1,0.006635042152243987,=$B$1+E93,0.008612594284146825,0.3062,4232173.916086674
Jersey (States of),Aa3,0.005639785829407389,=$B$1+E94,0.007320705141524802,0,4890
Jordan,Ba3,0.03383871497644433,=$B$1+E95,0.0439242308491488,0.2,48653.38178063972
Kazakhstan,Baa2,0.017914613811058765,=$B$1+E96,0.02325400456719643,0.2,225496.3289254941
Kenya,B3,0.061152971836515406,=$B$1+E97,0.0793794106522199,0.3,113420.00817879318
"Korea, D.P.R.",NR,0.17499999999999996,=$B$1+E98,0.22715816495844782,0.231,28500
Kuwait,A1,0.006635042152243987,=$B$1+E99,0.008612594284146825,0.15,175363.26530612243
Kyrgyzstan,B3,0.061152971836515406,=$B$1+E100,0.0793794106522199,0.1,11543.966558842048
Laos,Caa3,0.09410701452599389,=$B$1+E101,0.12215529559681582,0.2686,15468.785203753174
Latvia,A3,0.011279571658814777,=$B$1+E102,0.014641410283049603,0.2,40932.03004956436
Lebanon,C,0.175,=$B$1+E103,0.22715816495844784,0.17,23131.941556784346
Liberia,NR,0.0705526148855277,=$B$1+E104,0.09158058588809455,0.2915,4001.04697
Libya,NR,0.015039428878419699,=$B$1+E105,0.019521880377399464,0.2,45752.33603598456
Liechtenstein,Aaa,0,=$B$1+E106,0,0.125,7710.380085922573
Lithuania,A2,0.007962050582692785,=$B$1+E107,0.01033511314097619,0.15,70974.49045049444
Luxembourg,Aaa,0,=$B$1+E108,0,0.2494,81641.80786575908
Macau,Aa3,0.005639785829407389,=$B$1+E109,0.007320705141524802,0.2686,NA
Macedonia,Ba3,0.03383871497644433,=$B$1+E110,0.0439242308491488,0.1,13563.132102166315
Madagascar,NR,0.061152971836515406,=$B$1+E111,0.0793794106522199,0.2,15297.192798977121
Malawi,NR,0.1129063006240185,=$B$1+E112,0.14655764606856514,0.3,13164.6676269363
Malaysia,A3,0.011279571658814777,=$B$1+E113,0.014641410283049603,0.24,407027.451714616
Maldives,Caa1,0.07055261488552772,=$B$1+E114,0.09158058588809456,0.2686,6170.6387469650035
Mali,Caa2,0.08470737147698156,=$B$1+E115,0.10995412036094113,0.2686,18827.176529698252
