,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Computer Services,1182,0.0291,0.0797,0.143,0.003316831683168317,0.04666666666666666,0.1001683501683502,1.428571428571429,3.073684210526316,6.375377187688593,0.09401546772382438,0.09736065125309958,0.1099440562463375,0.9951989115818127,0.01083707025411061,0.07706650093225606,0.2453738175788774,0.07269527548395832,0.2246674268339035
Computers/Peripherals,342,0.0268,0.07339999999999999,0.213,-0.05116279069767442,0.03363349842413327,0.08521400778210117,0.865561362407641,1.655909640984268,2.989467609291588,0.1046466129455298,0.1085772923609996,0.1104774522621956,1.234262241333496,0.01600177797533059,0.1050779399490176,0.2967976229778805,0.09428129829984543,0.2658627449327959
Construction Supplies,804,0.0144,0.0535,0.125,0.007349397590361446,0.07145514311528417,0.1252873563218391,0.6607058823529413,1.107250755287009,1.7921333680646,0.07943898882980904,0.08333547353244004,0.097346708045557,0.9988863313531698,0.03357314148681055,0.1784591194968553,0.4005263500479662,0.1816526610644258,0.3883037694013304
Diversified,335,0.0129,0.0564,0.09300000000000001,0.02293729372937293,0.09683426443202979,0.1886503067484663,0.2202281852903731,0.6865318012277647,1.66366169480413,0.07733139435579917,0.08552988817025928,0.1007893433303033,0.8178934950919782,0.07401966785000204,0.328422584523232,0.6011273209549072,0.3084745762711865,0.5882079851439183
Drugs (Biotechnology),1223,-0.0202,0.171,0.539,-11.81102362204724,-1.879581151832461,-0.1042598509052183,0.0008110946746561971,0.1742563024311253,0.7575932555722369,0.09532048182109752,0.09570121719792442,0.1045557590510647,1.212613939262022,0.003092595961433509,0.04470118829012212,0.1832775639496713,0.04044835875256449,0.1668740494953684
Drugs (Pharmaceutical),1271,0.04940000000000001,0.102,0.202,-0.1827861579414375,0.05795918367346939,0.1504531722054381,0.4596742643673505,0.8685015290519876,1.474219317356572,0.08408258263289964,0.09066900750770936,0.1022873826499568,0.9672221009294519,0.004556962025316456,0.07526881720430109,0.2635085122131754,0.07834131618660192,0.2569625761531766
Education,272,0.03700000000000001,0.07719999999999999,0.116,-0.0005617521557379836,0.0845959595959596,0.1958586626139818,0.4359877848249941,1.135348755479287,2.273202614379085,0.07835024335450255,0.08409686280235916,0.09475475696113045,0.6769448379132121,0.01816443594646271,0.1112487402930773,0.3770856507230256,0.1311944764013264,0.3860010719479272
Electrical Equipment,1101,0.051,0.124,0.239,-0.02767433369843009,0.04816568047337279,0.1019685039370079,0.7694006309148265,1.331175610774692,2.136968928344959,0.09744735631322499,0.1019452409954584,0.105929769014109,1.156612738347347,0.01809905117095377,0.1078066914498141,0.2967146851449389,0.1031278245332282,0.2700361010830325
Electronics (Consumer & Office),125,0.0139,0.0673,0.187,-0.05631578947368421,0.02878113055504133,0.07245762711864406,1.030765775881428,1.83217486263022,2.732577515919776,0.09392793420273049,0.1011205023817685,0.1036247925917843,1.251077456098283,0.02607770090473656,0.155641592920354,0.3360239162929746,0.1316793893129771,0.3392369444674336
Electronics (General),1480,0.04650000000000001,0.119,0.222,-0.05125786163522013,0.04127995567253082,0.100197376059445,0.704577409779722,1.202244409604753,1.979303857008467,0.1053822826622754,0.110174079698686,0.1125728593711409,1.323902646942076,0.01662572863584705,0.08550602747406785,0.2505133470225873,0.08892330910679534,0.2288732394366197
Engineering/Construction,1327,0.0284,0.07000000000000002,0.143,0.001977939477939478,0.04555494202098288,0.09400544959128065,0.8901979264844487,1.830564784053156,3.394711293215515,0.0826381178614119,0.08643149552605721,0.09953047666082,0.9003298446067396,0.03999139969898947,0.189127972819932,0.4833836858006043,0.1936026936026936,0.474145990650845
