,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Software (Internet),147,0.0666,0.103,0.198,-0.09373868467366327,0.03696078431372549,0.1165898617511521,0.7315968289920725,1.623602571769625,3.548109965635739,0.1002076255646193,0.1075600202166113,0.1121880297267478,1.262263262247972,0.01543912933434574,0.08026755852842808,0.2601431980906921,0.04132231404958678,0.1946710168569875
Software (System & Application),1567,0.0568,0.123,0.198,-0.2655971479500891,-0.00757532281205165,0.108695652173913,0.7590443686006828,1.712990341021092,4.014474725771797,0.1010215891786288,0.1090743297951594,0.1131457914598493,1.159419927833925,0.002267573696145125,0.03050302666817751,0.1342835708927232,0.088,0.2553191489361702
Steel,727,-0.0239,0.0291,0.117,-0.003966010014814967,0.03367260390161154,0.09313077939233817,0.8123208910837555,1.379839018781142,2.061055127445168,0.09051637351585733,0.09709852014868048,0.1155821388289146,1.15347248409045,0.04281551221699171,0.2372881355932203,0.5164495210898923,0.02940997381720757,0.1448164582492941
Telecom (Wireless),98,0.0156,0.0413,0.07440000000000002,0.05471811878203196,0.139948006932409,0.2060475274296709,0.5617141132682829,0.9477611940298507,1.531524926686217,0.0738848348622294,0.07931817492399171,0.09053614755486447,0.6348785254077843,0.09780775716694771,0.2471961764962312,0.4475703324808184,0.2336756002251175,0.4639865996649916
Telecom. Equipment,440,0.0331,0.12,0.218,-0.1262745098039216,0.005607170721770288,0.07804708502884983,0.7058452812352292,1.278989790435249,2.234744658250575,0.09657025643946254,0.1048395879290653,0.1074335020308312,1.177520288053817,0.01277183293061788,0.07752812442798752,0.2742498255408234,0.2271125994868003,0.4126760226647859
Telecom. Services,274,0.0161,0.0438,0.111,0.01158018867924528,0.09764391547243138,0.2031137554853134,0.5440295066851084,0.9029930518439337,1.888268306436454,0.06886802191789448,0.07388537891533248,0.08338408220836732,0.7339186106591947,0.06238154099711578,0.2636547538772758,0.5216812800655044,0.08842443729903537,0.264033264033264
Tobacco,54,0.0184,0.0315,0.0915,-0.04795127353266888,0.1553846153846154,0.260128617363344,1.030808729139923,1.751745888713674,2.802506883794787,0.07196723424203841,0.08443926228047022,0.09845235931793889,0.4366618703436086,0.000513143107555078,0.11128903122498,0.4121292710662662,0.2274733716489288,0.4517086686898008
Transportation,446,0.0438,0.084,0.147,0.005759162303664921,0.05339130434782609,0.1160377358490566,0.5664578983994432,1.453237410071942,2.911665866538646,0.08335597131935463,0.08806038554642309,0.1027912234523332,0.8033993417547111,0.08987808803744027,0.2687350314967148,0.5257182576459685,0.0672225117248567,0.3413654618473896
Transportation (Railroads),54,0.0234,0.0416,0.0513,0.06701592406245137,0.1161869320704668,0.2150969082506359,0.3884201586945129,0.5101967109480919,0.7954348524340553,0.06447620428935008,0.06683986885688283,0.07155269321486066,0.7880610796514507,0.1635166461159063,0.4621924224439382,0.6220116674993499,0.1551495896213926,0.396484375
Trucking,113,0.0308,0.0662,0.125,0.01640847633473452,0.05063113604488079,0.0917666643545814,0.8720666161998487,1.528902370410235,2.349464351680828,0.08058739810545494,0.08719164769586726,0.103782238309545,0.8816158866667831,0.1294964028776978,0.2641129032258064,0.4800024938433243,0.4271493352764663,0.5726768722752666
Utility (General),52,-0.009010000000000002,0.0269,0.0513,0.07811602527283171,0.1749146757679181,0.2382898687018483,0.2973939277104603,0.380615649327486,1.440691694002349,0.06128859456138713,0.06582794789949452,0.06872802146831541,0.4980324485583621,0.3441892516474658,0.4594035905466942,0.5235578111398579,0.2657023220403502,0.4654088050314465
Utility (Water),106,0.04219999999999999,0.0633,0.105,0.072265625,0.2183235867446394,0.3002350833986343,0.2270737917182716,0.3398628795298727,0.6538135039832832,0.06358588277136573,0.06689046933873492,0.07043727671951067,0.5795434390324514,0.1005781329705832,0.3551756885090219,0.6189051749925217,0.4599175129102693,0.5477355884249122
Utility (Water),102,0.00155,0.0688,0.131,0.07207578253706755,0.2031337437045327,0.2759856630824373,0.2102032657029534,0.34106955107972,0.5923620519204716,0.05878584302753442,0.06229838286605245,0.06684683461807117,0.4211236677680427,0.6038672004336629,0.914902635208585,0.06670579029733958,0.3233525957200156,0.6080075961386295
