Mature Market ERP +,0.0433,"Updated January 1, 2025",,,
Changing this number will update all your country equity risk premiums.,,,,,
,,,,,
Country,Moody's rating,Adj. Default Spread,Equity Risk Premium,Country Risk Premium,Corporate Tax Rate
Hungary,Baa2,0.01885748822216712,=$B$1+E81,0.025422767275246023,0.09
Iceland,A1,0.006984254897098934,=$B$1+E82,0.0094158397315726,0.2
India,Baa3,0.021767594429291676,=$B$1+E83,0.029346033830067942,0.3
Indonesia,Baa2,0.01885748822216712,=$B$1+E84,0.025422767275246023,0.22
Iran,NR,0.06437154930159514,=$B$1+E85,0.08678265619266079,0.22
Iraq,Caa1,0.07426591040581865,=$B$1+E86,0.10012176247905531,0.15
Ireland,Aa3,0.005936616662534093,=$B$1+E87,0.008003463771836711,0.125
Isle of Man,Aa3,0.005936616662534093,=$B$1+E88,0.008003463771836711,0
Israel,Baa1,0.015830977766757577,=$B$1+E89,0.02134257005823122,0.23
Italy,Baa3,0.021767594429291676,=$B$1+E90,0.029346033830067942,0.24
Ivory Coast,Ba2,0.029799487560955448,=$B$1+E91,0.04017424952137643,0.25
Jamaica,B1,0.04458282709314818,=$B$1+E92,0.06010444361987177,0.25
Japan,A1,0.006984254897098934,=$B$1+E93,0.0094158397315726,0.3062
Jersey (States of),Aa2,0.0048889784279692525,=$B$1+E94,0.006591087812100819,0
Jordan,Ba3,0.035619699975204554,=$B$1+E95,0.048020782631020255,0.2
Kazakhstan,Baa1,0.015830977766757577,=$B$1+E96,0.02134257005823122,0.2
Kenya,Caa1,0.07426591040581865,=$B$1+E97,0.10012176247905531,0.3
"Korea, D.P.R.",NR,0.11884873749896685,=$B$1+E98,0.1602262060989271,0.25
Kuwait,A1,0.006984254897098934,=$B$1+E99,0.0094158397315726,0.15
Kyrgyzstan,B3,0.06437154930159515,=$B$1+E100,0.0867826561926608,0.1
Laos,Caa3,0.09906001529051987,=$B$1+E101,0.13354799352613805,0.2686
Latvia,A3,0.011873233325068186,=$B$1+E102,0.016006927543673423,0.2
Lebanon,C,0.175,=$B$1+E103,0.23592666323069683,0.17
Liberia,NR,0.08916565418629635,=$B$1+E104,0.1202088872397435,0.17
Libya,NR,0.015830977766757577,=$B$1+E105,0.02134257005823122,0.17
Liechtenstein,Aaa,0,=$B$1+E106,0,0.125
Lithuania,A2,0.00838110587651872,=$B$1+E107,0.011299007677887121,0.15
Luxembourg,Aaa,0,=$B$1+E108,0,0.2494
Macau,Aa3,0.005936616662534093,=$B$1+E109,0.008003463771836711,0.2686
Macedonia,Ba3,0.035619699975204554,=$B$1+E110,0.048020782631020255,0.1
Madagascar,NR,0.054477188197371657,=$B$1+E111,0.07344354990626625,0.1
Malawi,NR,0.08916565418629635,=$B$1+E112,0.1202088872397435,0.1
Malaysia,A3,0.011873233325068186,=$B$1+E113,0.016006927543673423,0.24
Maldives,Caa2,0.08916565418629636,=$B$1+E114,0.12020888723974354,0.2686
Mali,Caa2,0.08916565418629636,=$B$1+E115,0.12020888723974354,0.2686
Malta,A2,0.00838110587651872,=$B$1+E116,0.011299007677887121,0.35
Martinique,NR,0.06012263625836532,=$B$1+E117,0.08105447404039451,0.25228018689443577
Mauritius,Baa3,0.021767594429291676,=$B$1+E118,0.029346033830067942,0.15
Mexico,Baa2,0.01885748822216712,=$B$1+E119,0.025422767275246023,0.3
Moldova,B3,0.06437154930159515,=$B$1+E120,0.0867826561926608,0.12
Monaco,Aaa,0,=$B$1+E121,0,0.24775219614916172
Mongolia,B2,0.05447718819737168,=$B$1+E122,0.07344354990626628,0.25
Montenegro,B1,0.04458282709314818,=$B$1+E123,0.06010444361987177,0.15
Montserrat,Baa3,0.021767594429291676,=$B$1+E124,0.029346033830067942,0.2853
Morocco,Ba1,0.024794104884701216,=$B$1+E125,0.03342623104708274,0.32
Mozambique,Caa2,0.08916565418629636,=$B$1+E126,0.12020888723974354,0.32
Myanmar,NR,0.09906001529051986,=$B$1+E127,0.13354799352613805,0.32
Namibia,B1,0.04458282709314818,=$B$1+E128,0.06010444361987177,0.32
