,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Computer Services,1164,0.0161,0.0973,0.195,0.005176534492123846,0.04873072781235526,0.09931170108161258,1.43595041322314,3.043881334981458,6.276041076679524,0.09043512842322962,0.0940925540181513,0.1076934404282229,0.5648900084166104,1.003765905072171,1.447932600314236,0.0105382911202922,0.07269527548395832,0.2246674268339035
Computers/Peripherals,338,-0.0421,0.0336,0.102,-0.05042424242424243,0.02903225806451613,0.09309998515853894,0.826106800547695,1.554752066115703,2.804967129291454,0.1024153249601094,0.106235527278809,0.1083986321335266,0.8059414775513541,1.208390091947987,1.710163280085617,0.01749151749151749,0.09428129829984543,0.2658627449327959
Construction Supplies,453,0.0141,0.09970000000000001,0.195,0.01701214721701819,0.0804140127388535,0.1370693233706932,0.551623646960866,0.9730420495344735,1.472868217054264,0.0768609955377672,0.08857633511136384,0.09800328222189005,0.4269034632197925,0.9057036612311372,1.348416564951304,0.03422152560083595,0.1816526610644258,0.3883037694013304
Diversified,326,0.0446,0.126,0.231,0.02756813417190775,0.09447589303142691,0.1801439812489536,0.2325669374080096,0.711439774730914,1.801159251408883,0.07342226115527012,0.0811908294811873,0.09570495390741254,0.3993751342500558,0.916923264166887,1.435477769550142,0.05200916317484538,0.3084745762711865,0.5882079851439183
Drugs (Biotechnology),1259,-0.05300000000000001,0.11,0.399,-12.87079134971378,-2.421487603305785,-0.1676470588235294,0.001864031639602062,0.1721311475409836,0.7374250044873428,0.09107256542614203,0.09165759615603469,0.100632247162767,0.6412542267471837,1.108579338558525,1.636713621680469,0.003541787809906433,0.04044835875256449,0.1668740494953684
Drugs (Pharmaceutical),1299,0.0121,0.09,0.184,-0.2980958634274458,0.05275109170305677,0.1426573426573426,0.408505875769446,0.8603970520822315,1.407624633431085,0.07946971827051694,0.08695354832775432,0.09201961239183637,0.4689517632669788,0.8547367162095574,1.321946073176484,0.0060790273556231,0.07834131618660192,0.2569625761531766
Education,260,0.00507,0.09570000000000001,0.206,-0.03421828908554572,0.08151632742000742,0.1856796116504854,0.4005450508041181,1.024233498460303,2.3218256449225,0.0749829152471205,0.07980116181356933,0.09095277932782156,0.2599929931506992,0.7681542434214266,1.230319315867861,0.01824106743248005,0.1311944764013264,0.3860010719479272
Electrical Equipment,1072,0.0342,0.127,0.266,-0.01394495412844037,0.04971042471042472,0.1025670302758301,0.7853844064113013,1.41271676300578,2.209302325581395,0.09461882571311157,0.09904760526853885,0.1007969718433285,0.5918704821430562,1.080245257160927,1.609268762135982,0.01758539059857964,0.1031278245332282,0.2700361010830325
Electronics (Consumer & Office),127,-0.0438,0.0573,0.138,-0.05801324503311259,0.03038598412263892,0.07262300891652079,1.061159287996349,1.741554054054054,2.780612244897959,0.09109518207902552,0.09776625058752712,0.1002032992344775,0.718953127517035,1.179104108245023,1.751180882460848,0.02684718895188461,0.1316793893129771,0.3392369444674336
Electronics (General),1486,-0.0166,0.0621,0.149,-0.06284333113601406,0.04059278350515464,0.1001949317738791,0.7042062415196745,1.195867026055705,1.926155592031937,0.1031493045695606,0.1076605877335424,0.110100820170016,0.7469700779027746,1.254871304110378,1.789210965139168,0.01532017348571052,0.08892330910679534,0.2288732394366197
Engineering/Construction,1623,-0.0192,0.0668,0.177,-0.002638888888888889,0.04301395723410629,0.08422244233762559,0.7684371388011885,1.640927053294884,3.009502090459901,0.07820543034194977,0.08206241271018874,0.0962859899559179,0.5249899919156651,0.9668772105712965,1.455682768776427,0.03986345735035297,0.1936026936026936,0.474145990650845
